Altium Designer Pick and Place Locations
D:\_ValoTec\_Projets\_Altium\ENU-MIC-PRO2\PCB_ENU-MIC-PRO2\Project Outputs for PCB_ENU-MIC-PRO2\Pick Place for PCB_ENU-MIC-PRO2_PCB.csv

========================================================================================================================
File Design Information:

Date:       10/06/19
Time:       18:14
Revision:   1030
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R61","Resistor","TopLayer","0603-R","19.8750","9.5750","180","Resistance"
"R60","Resistor","TopLayer","0603-R","19.8750","8.3250","180","Resistance"
"R35","Resistor","BottomLayer","0603-R","7.5250","22.0500","90","Resistance"
"J2","Micro SD Card Connector","TopLayer","693071010811","16.7131","31.2200","360","WR-CRD Micro SD Card Connector Push & Push - 8 pins"
"T2","Test Point","TopLayer","TESTPIN_BLACK_small","1.4500","31.9000","90","Test point"
"T3","Test Point","TopLayer","TESTPIN_BLACK_small","4.3500","37.1250","90","Test point"
"T5","Test Point","TopLayer","TESTPIN_BLACK_small","56.9250","33.2000","90","Test point"
"T11","Test Point","TopLayer","TESTPIN_BLACK_small","33.7000","31.3250","90","Test point"
"R16","Resistor","BottomLayer","0603-R","23.7500","25.9000","270","Resistance"
"R14","Resistor","BottomLayer","2010","21.6750","27.5500","90","Resistance"
"R9","Resistor","BottomLayer","0603-R","35.8160","29.8280","180","Resistance"
"P4","Header 4","TopLayer","52418-0410","29.6221","35.8398","180","Header, 4-Pin"
"P1","Header 2","TopLayer","53261-0271","44.5210","31.1370","270","Header, 2-Pin"
"S1","SW-PB","TopLayer","EVP-AKB11A","9.3500","-2.3762","270","Switch"
"M1","POM-2244P-C33-R","TopLayer","POM-2244P-C33-R","17.4375","-1.4000","360","Microphone"
"R91","Resistor","BottomLayer","0603-R","40.4720","34.3520","180","Resistance"
"Y1","NX3215SA-32.768k","BottomLayer","XTAL-NX3215SA","23.0250","4.3250","270","Crystal 32.768kHz"
"U16","TPS63070","BottomLayer","VQFN15_2.5x3","55.3131","8.4871","180","2-V to 16-V Buck-Boost Converter"
"U14","SPBTLE-RF","TopLayer","SPBTLE-RF","4.6655","16.0000","90","Very low power module for Bluetooth Smart v4.1"
"U11","MP34DT06J","BottomLayer","HCLGA_3_x_4","28.1539","-1.7138","90","MEMS audio sensor omnidirectional digital microphone"
"U10","MP34DT06J","BottomLayer","HCLGA_3_x_4","5.1800","17.7150","90","MEMS audio sensor omnidirectional digital microphone"
"U9","MAX4466","BottomLayer","SC-70","7.9484","6.7751","360","Préamplificateur Microphone"
"U8","TLV3491","BottomLayer","SOT23-5AL","14.5502","2.0250","180","1.8V, Nanopower,  PUSH-PULL OUTPUT COMPARATOR"
"U7","M24C02-WDW6TP","BottomLayer","TSSOP-8","4.3761","27.9847","90","EEPROM Memory IC 2Kb (256 x 8) I²C 400kHz 900ns 8-TSSOP"
"U6","STM32L4A6RGT","BottomLayer","LQFP64_M_10x10mm","34.6873","7.5927","360","MCU ARM, STM32 Family STM32L4 Series Microcontrollers, ARM Cortex-M4, 32 bits, 80 MHz, 1 MB, 320 KB"
"U5","LSM6DSL","TopLayer","LGA-14_2.5x3x0.86","25.3750","10.5000","360","Module MEMS, iNEMO, Gyroscope 3 axes, Accéléromètre 3 axes, 1.71 V, 3.6 V, LGA, 14 Broche(s)"
"U4","HTS221","TopLayer","HLGA-6L_(2_x_2_x_0.9_mm)","28.9500","12.0050","180","Capacitive digital sensor for relative humidity and temperature"
"U3","STC3115","BottomLayer","DFN-10_-_2x3mm","28.2395","26.8750","180","Jauge de batterie, Li-Ion, Li-Pol, Alimentation 2,7V à 4,35V, Interface I2C, DFN-10"
"U2","LD39100PU33RY","BottomLayer","DFN6-3x3mm","47.0849","33.1375","90","Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 1A 6-DFN (3x3)"
"U1","MCP73833","BottomLayer","DFN-10","42.9500","21.0250","360","Stand-Alone System Load Sharing and Li-Ion/Li-PolymerChargeur de batterie, Batterie 1 cellule Li-Pol, Entrée 6V, Charge 4,2V / 1,1A, DFN-10"
"T1","Test Point","TopLayer","TESTPIN_BLACK_small","38.3000","30.6141","0","Test point"
"S3","SW-PB","BottomLayer","B3U-1000P","20.5750","16.5250","270","Switch"
"RT1","NTC","BottomLayer","6-0805_N","48.7250","25.3750","180","Thermistor"
"R90","Resistor","BottomLayer","2010","52.2750","37.1750","180","Resistance"
"R89","Resistor","BottomLayer","0603-R","57.0250","5.2750","180","Resistance"
"R88","Resistor","BottomLayer","0603-R","55.5250","3.9750","180","Resistance"
"R87","Resistor","BottomLayer","0603-R","55.1490","11.8820","360","Resistance"
"R86","Resistor","BottomLayer","0603-R","55.5250","2.5250","360","Resistance"
"R85","","TopLayer","0603-R","47.5750","27.2500","90","Resistance"
"R84","Resistor","TopLayer","0603-R","52.3500","27.3000","180","Resistance"
"R83","Resistor","TopLayer","0603-R","56.9400","3.8500","90","Resistance"
"R82","Resistor","TopLayer","0603-R","46.7470","0.4899","270","Resistance"
"R81","Resistor","TopLayer","0603-R","45.5121","0.4899","270","Resistance"
"R80","Resistor","TopLayer","0603-R","49.3220","3.8750","90","Resistance"
"R79","Resistor","TopLayer","0603-R","48.0470","3.8750","90","Resistance"
"R78","Resistor","TopLayer","0603-R","45.5220","3.8750","90","Resistance"
"R77","Resistor","TopLayer","0603-R","44.2470","3.8750","90","Resistance"
"R76","","TopLayer","0603-R","32.8000","17.9500","360","Resistance"
"R74","Resistor","TopLayer","0603-R","56.3250","27.3000","180","Resistance"
"R73","Resistor","TopLayer","0603-R","41.6250","3.4001","270","Resistance"
"R72","","TopLayer","0603-R","4.6875","7.0000","180","Resistance"
"R70","","TopLayer","0603-R","1.6255","25.4000","270","Resistance"
"R68","Resistor","BottomLayer","0603-R","24.0000","-1.9000","270","Resistance"
"R59","Resistor","BottomLayer","0603-R","10.6004","9.8501","90","Resistance"
"R58","Resistor","BottomLayer","0603-R","8.8504","9.8501","270","Resistance"
"R57","Resistor","BottomLayer","0603-R","4.8754","9.8501","270","Resistance"
"R56","Resistor","BottomLayer","0603-R","5.4255","6.8751","270","Resistance"
"R55","Resistor","BottomLayer","0603-R","10.6004","6.6750","270","Resistance"
"R54","Resistor","BottomLayer","0603-R","10.1500","2.0500","90","Resistance"
"R53","Resistor","BottomLayer","0603-R","5.4255","3.8501","270","Resistance"
"R52","Resistor","BottomLayer","0603-R","11.4002","2.0500","270","Resistance"
"R51","Resistor","BottomLayer","0603-R","3.8255","-0.2374","90","Resistance"
"R50","Resistor","BottomLayer","0603-R","17.4002","3.7250","90","Resistance"
"R49","Resistor","BottomLayer","0603-R","5.4755","-0.2374","270","Resistance"
"R48","Resistor","BottomLayer","0603-R","18.8375","2.3000","270","Resistance"
"R47","Resistor","BottomLayer","0603-R","11.0752","33.4501","90","Resistance"
"R46","Resistor","BottomLayer","0603-R","13.5751","29.6501","180","Resistance"
"R45","Resistor","BottomLayer","0603-R","13.5751","31.1501","180","Resistance"
"R44","Resistor","BottomLayer","0603-R","13.5751","28.3720","180","Resistance"
"R43","Resistor","TopLayer","0603-R","24.7127","23.2250","90","Resistance"
"R42","Resistor","TopLayer","0603-R","24.7127","26.2750","270","Resistance"
"R41","","BottomLayer","0603-R","12.4750","33.4500","270","Resistance"
"R40","Resistor","BottomLayer","0603-R","2.8250","21.2200","360","Resistance"
"R39","Resistor","BottomLayer","0603-R","5.4600","22.8000","180","Resistance"
"R38","Resistor","BottomLayer","0603-R","8.8000","22.0500","90","Resistance"
"R37","Resistor","BottomLayer","0603-R","2.8250","22.8000","360","Resistance"
"R36","Resistor","BottomLayer","0603-R","5.4600","21.2200","180","Resistance"
"R34","Resistor","BottomLayer","0603-R","4.8005","34.3000","360","Resistance"
"R33","Resistor","BottomLayer","0603-R","26.2500","5.6000","180","Resistance"
"R32","Resistor","BottomLayer","0603-R","31.9250","16.4500","90","Resistance"
"R31","Resistor","BottomLayer","0603-R","33.0000","16.4500","90","Resistance"
"R30","Resistor","BottomLayer","0603-R","26.2500","3.0750","180","Resistance"
"R29","Resistor","BottomLayer","0603-R","32.0250","-2.7750","360","Resistance"
"R28","Resistor","BottomLayer","0603-R","32.0250","-0.5750","360","Resistance"
"R26","Resistor","TopLayer","0603-R","11.5250","1.7250","0","Resistance"
"R24","Resistor","TopLayer","0603-R","9.9995","0.5000","180","Resistance"
"R23","Resistor","BottomLayer","0603-R","17.2940","15.5750","270","Resistance"
"R22","Resistor","BottomLayer","0603-R","21.3250","13.3500","180","Resistance"
"R17","Resistor","BottomLayer","0603-R","28.2750","23.0250","180","Resistance"
"R15","Resistor","BottomLayer","0603-R","24.9280","25.9000","90","Resistance"
"R13","Resistor","BottomLayer","0603-R","26.7340","29.2590","360","Resistance"
"R12","Resistor","BottomLayer","0603-R","31.5201","29.9240","90","Resistance"
"R11","Resistor","BottomLayer","0603-R","30.0200","29.9240","90","Resistance"
